STATE,MURDER,MAN SLAUGHTER,ATTEMPTED SUICIDE,ASSAULT,CHILD STEALING,RAPE & INDICENT ASSAULT,KIDNAPPING,OFFENCES AGAINST PERSONS
ABUJA,91,3,15.076923,217,3,132,49,1183
AKWA IBOM,81,5,15.076923,341,52,83,11,702
ANAMBRA,41,8,15.076923,706.617647,18.157895,61.594595,30.648649,127
ABIA,97,6,15.076923,8945,68,98,104,9816
ADAMAWA,114,8,15.076923,68,18.157895,24,9,811
BAUCHI,58,8,15.076923,3,18.157895,33,44,196
BENUE,51,3,2,76,45,23,67,431
BORNO,123,48,3,39,18.157895,97,2,681
BAYELSA,30,8,1,187,4,88,53,612
CROSS RIVER,87,8,15.076923,347,6,65,31,949
DELTA,117,2,15.076923,1895,9,93,49,3310
EBONYI,204,12,15.076923,87,6,44,98,1275
EDO,187,5,54,3,8,10,2,729
ENUGU,40,4,15.076923,621,4,32,25,935
GOMBE,73,8,2,44,18.157895,52,10,408
EKITI,78,4,8,11,18.157895,51,3,427
IMO,52,8,15.076923,184,18.157895,23,33,893
JIGAWA,62,8,15.076923,28,18.157895,83,5,345
KADUNA,128,8,15.076923,26,18.157895,95,64,385
KANO,124,8,1,414,18.157895,237,43,2102
KATSINA,52,5,2,150,15,2,30,602
KEBBI,55,8,15.076923,706.617647,18.157895,15,8,88
KOGI,76,8,15.076923,706.617647,18.157895,11,46,146
KWARA,78,8,1,14,3,16,10,279
LAGOS,216,11,5,8236,65,441,98,18926
NIGER,121,8,1,65,1,41,30,564
NASARAWA,51,8,15.076923,112,18.157895,31,10,466
OGUN,105,8,4,150,4,43,15,518
ONDO,108,8,15.076923,686,12,27,22,1282
OYO,30,8,15.076923,660,8,83,2,1058
OSUN,25,8,15.076923,144,1,2,15,318
PLATEAU,71,1,15.076923,68,18.157895,66,10,736
RIVERS,67,10,112,706.617647,31,5,82,467
SOKOTO,55,8,15.076923,115,18.157895,28,27,766
TARABA,115,8,15.076923,54,18.157895,30,14,550
YOBE,110,8,15.076923,11,18.157895,51,3,367
ZAMFARA,44,8,15.076923,21,18.157895,23,9,169
RAILWAY,2,1,15.076923,3,18.157895,1,1,22
